PIM | Brand,UPC Code,English Description,COST
Dr Brush,121019909,"<h3><strong>Highlights:</strong></h3><ul><li><strong>Dr Brush Dental Wax is a dental care product formulated with natural ingredients, designed to help protect sensitive teeth and fill gaps caused by missing or damaged teeth.&nbsp;</strong></li><li><strong>The wax is easy to use, certified safe, and helps to reduce tooth sensitivity & discomfort.</strong></li><li><strong> It effectively seals gaps, and is gentle for daily use.</strong></li></ul>",10.0
CeraVe,121019983,,66.7
Cetaphil,121020003,"<h2><strong>Highlights:</strong></h2><h3>Rich cream is clinically proven to provide intense and lasting 48-hour hydration.</h3><ul>
<li><strong>Specially formulated with a dermatologist-backed blend of niacinamide (vitamin B3), panthenol (pro-vitamin B5) and hydrating glycerin to help improve the resilience of sensitive skin</strong></li><li><strong>Significant skin barrier improvement in 3 days with complete restoration in 1 week</strong></li><li><strong>97% of users reported that skin seems more hydrated</strong></li><li><strong>Dermatologist tested and clinically proven to be gentle on sensitive skin</strong></li></ul><p><strong><br></strong></p><p><strong><br></strong></p>",149.57
Blade,121020160,,105.0
Gillette,121020198,<p><strong>Highlights:</strong></p><ul>  <li>Closer shave with fewer nicks and cuts (vs 2-bladed disposables)  </li>  <li> Easy-glide MoistureRich Strip helps razor glide over skin for a comfortable shave  </li>  <li> Skin protective microfins help reduce nicks and cuts  </li>  <li> Specially designed handle to maneuver easily around hard-to-shave spots like ankles and knees </li></ul>,41.4
Green Wealth,121020606,,120.0
Professional,121020623,"<p><strong>Highlights:</strong></p><li> It helps smooth the body and lighten the skin tone, and is also used to stimulate blood circulation.</li><li> It is used to get rid of dead cells that are found on the skin, eliminate skin appendages, and eliminate all dry skin cells.</li><li> It lightens the pores of the body.</li>",21.85
Bioderma,121020625,"<p><strong>Highlights:</strong></p><ul><li>It Raises The Skin\'s Tolerance Threshold.</li><li>The Skin Is Resistant And Thus Better Protected Against External Attack, So It Becomes Less Reactive.</li><li>Bioderma Sensibio Eye Contour Gel Instantly Soothes Feelings Of Discomfort And Irritation.     </li></ul>",133.0
Kiss,121020651,"<p><strong>Highlights:</strong></p><ul>  <li>Glue Free, Chip Proof, No Dry Time!  </li>  <li> Safe On Natural Nails, With Hassle-Free Removal.  </li>  <li> Superhold Adhesive Allows Nails To Stay Put And Stay Perfect </li></ul>",67.0
Kiss,121020652,,72.0
Kiss,121020653,,85.0
Kiss,121020656,<p><strong>Highlights:</strong></p><ul><li>Dries in seconds</li><li>Dispensing tip</li><li>Secure hold</li></ul>,27.0
Kiss,121020661,"<p><strong>Highlights:</strong></p><ul>  <li>Created with Multi-Angle Technology  </li>  <li> Adds length, depth & volume  </li>  <li> Contact lens friendly </li></ul>",48.0
Kiss,121020664,,41.0
Kiss,121020665,,133.0
Laperva,121020669,"<p><strong>Highlights:</strong></p><ul><li>No added sugar.</li><li>Suitable for vegetarians.</li><li>Rich in fiber.</li><li>Cholesterol free.</li><li>It is also suitable for keto dieters.</li><li>Rich in protein, contains 30 grams for two pieces.</li></ul>",16.0
Laperva,121020670,,18.0
Laperva,121020673,,14.0
La Roche Posay,121020674,,209.57
Vichy,121020675,,153.91
Vichy,121020676,,164.36
Jullyderm,121020681,,170.0
ISDIN,121020722,"<p><strong>Highlights:</strong></p><ul><li>Absorbs immediately</li><li>Doesn’t leave greasy residue</li><li>Doesn’t irritate eyes, is non-comedogenic and mineral oil free, and provides oil control.</li></ul>",170.0
Afle,121020726,"<p><strong>Highlights:</strong></p><li>Daily soft contact lenses provide clear and comfortable vision.</li><li>The lenses are soft, flexible, and fit comfortably against your eyes.</li><li>They are convenient to use and don\'t require nightly cleaning or storage when not in use.</li>",30.0
Louis Widmer,121020749,,77.0
Vichy,121020760,,217.3
Eucerin,121020762,,105.8
Eucerin,121020764,,138.0
Laino,121020767,,145.0
La Roche Posay,121020774,"<p><strong>Highlights:</strong></p><ul><li>Apply 30 minutes before exposure and re-apply frequently and generously every two hours to maintain protection especially after swimming, perspiring or towelling. Avoid exposure to the sun during the hottest hours of the day</li><li>Comes 50 ml </li></ul>",149.5
Manzanilla,121020778,,70.0
Bambi,121020779,<p><strong>Highlights:</strong></p><ul><li>With pure water and mild ingredients to clean baby\'s skin upon diapering.</li><li>It is enriched with Vitamin E to nourish the skin and enhanced with Aloe Vera for a moisturizing effect.</li></ul>,33.0
Holista,121020809,,152.0
La Roche Posay,121020812,,200.0
Lee Stafford,121020834,"<p><strong>Highlights:</strong></p><ul><li>Apply to wet hair, massage gently into a lather and rinse well. Repeat if necessary</li><li>Violet shampoo the ideal shampoo for blonde hair coloured should be used once or twice weekly hair magazine 2013 - best shampoo for blondes</li><li>You can use dry shampoo to cleanse hair more t</li></ul>",95.45
Lee Stafford,121020835,,95.45
Lee Stafford,121020838,,52.0
Uriage,121020841,,110.0
Lee Stafford,121020844,,53.0
Otosan,121020893, ,46.0
Star Pharma,121020895,,49.5
Dymatize,121020898,,339.0
Optimum Nutrition,121020899,"<h3><strong>Highlights:</strong></h3><ul><li><strong>By using WPI as the primary ingredient along with premium ultra-filtered whey protein concentrate (WPC), we're able to pack 24g blended protein consisting of whey protein isolate, whey protein concentrate, and whey peptides/hydrolysates to support lean muscle mass.</strong></li><li><strong>The primary protein source is Isolate, they don't call it the Gold Standard of quality for nothing. pack 24 grams of protein into every serving to support your muscle-building needs after training.</strong></li><li><strong>This superior quality powder has been proved to mix easily using a shaker cup or just a glass and spoon. There's no doubt that this is the standard by which all other whey proteins are measured.</strong></li><li><strong>Each serving of Gold Standard 100% Whey contains 24 g of premium whey protein to support muscle growth and recovery, 11 grams of naturally occurring EAAs, including 5.5 grams of naturally occurring BCAAs, and over",320.0
Dymatize,121020903,,260.0
Dymatize,121020904,,147.0
Optimum Nutrition,121020905,<p><strong>Highlights:</strong></p><ul><li>More Than 59 Grams of High-Quality Protein</li><li>260 Grams of Carbohydrates</li><li>1500mg Of Added Creatine Blend</li><li>Rich In Vitamins and Minerals and Digestion Enzymes</li><li>10 gm of BCAA\'s Essential Amino Acids</li></ul>,210.0
Optimun Nutrition,121020908,<p><strong>Highlights:</strong></p><ul><li>For Muscle Support & Recovery</li><li>24 g Protein - Helps Build and Maintain Muscle‡</li><li>5.5 g BCAAs** - Supports Endurance and Recovery</li><li>Whey Protein Isolate</li><li>Primary Source</li><li>Banned Substance Tested</li><li>Artificially Flavored</li><li>100% of the Protein from Whey</li><li>Protein Powder Drink Mix</li><li>No Artificial Growth Hormones</li><li>Authentic Optimum Nutrition Product</li><li>Gluten Free</li></ul>,154.0
Basix,121020910,"<h3><strong>Highlights:</strong></h3><ul><li><strong>Designed to aid in your weight loss efforts when used in combination with a healthy diet and regular exercise.</strong></li><li><strong>Contains 200 mg of caffeine to provide continuous energy during extended workouts, enhance metabolism, and aid fat loss.</strong></li><li><strong>Each scoop features a precise amount of l-carnitine, green tea, choline, l-tyrosine, and B- Vitamins.</strong></li><li><strong>Allows your Abs muscles to “Burst Out,” allowing for deeper muscle definition and separation.</strong></li></ul>",123.0
Basix,121020911,,123.0
Gillette,121020918,,94.0
Laperva,121020919,"<p><strong>Highlights:</strong></p><li>Provides a good source of protein to support muscle maintenance and recovery after workouts and physical activities.</li><li>Enjoy
 a delicious passion fruit flavor, sweetened with sucralose for a 
low-calorie, guilt-free treat that helps maintain healthy hair, skin, 
and nails.</li>",14.0
Normazal,121020969, ,40.87
Vichy,121020985,,85.22
Laperva,121021001,,210.0
Helenvita,121021016,<p><strong>Highlights:</strong></p><ul><li>Dermatologically tested.</li><li>Clinically tested.</li><li>Paraben Free.</li></ul>,180.0
Helenvita,121021022,<p><strong>Highlights:</strong></p><ul><li>Clinically tested.</li><li>Dermatologically tested.</li><li>Ophthalmologically tested.</li><li>Without parabens.</li></ul>,150.0
Helenvita,121021026,,150.0
Helenvita,121021028,"<p><strong>Highlights:</strong></p><ul><li>Clinically Tested</li><li>Dermatologically Tested</li><li>Without Parabens</li><li>Boosts cell renewal during nighttime.</li><li>Its enhanced formula, increases elasticity and firmness of the skin, visibly improving lines and wrinkles.</li></ul>",220.0
Petal Fresh,121021032,,60.0
Armalla,121021034,,76.0
Eco Styler,121021036,,45.0
ISDIN,121021046,"<p><strong>Highlights:</strong></p><ul><li>Potassium nitrate, sodium fluoride and bioadhesive agent for a 
cleaning action, reducing sensitivity, promoting enamel mineralization 
and anti-plaque</li><li>Attenuates toothache</li><li>Pro protects and maintains healthy gums</li><li>Reduces sensitivity</li><li>Pro moves the enamel mineralization</li><li>Pro protects against plaque</li><li>Ideal for cases of dental hypersensitivity or after hygiene or professional bleaching</li><li>Pleasant taste to ensure long-term use</li><li>Long-term results</li><li>Protected and healthy teeth and gums</li></ul>",52.0
Eucerin,121021049,<h3><strong>Highlights:</strong></h3><ul><li><strong>Suitable for rough and wrinkled skin.</strong></li><li><strong>Gently exfoliates the skin and improves the condition of dry skin.</strong></li><li><strong>Provides the skin with 48-hour hydration.</strong></li><li><strong>Fragrance free.</strong></li></ul>,111.0
Giovanni,121021053,,60.0
Petal Fresh,121021054,,45.0
Giovanni,121021057, ,60.0
Lapreva,121021086,,135.0
Laperva,121021087,<h3><strong>Highlights:</strong></h3><ul><li><strong>Enhance Physical Performance and Reduce Tiredness</strong></li><li><strong>Maximizing Your Bodies Potential</strong></li><li><strong>Enhance Fat Loss</strong></li><li><strong>Support Peak Mental and Physical Performance</strong></li></ul>,134.78
Laperva,121021088,"<h3><strong>Highlights:</strong></h3><ul>  <li><strong>&nbsp;LAPERVA ISO TRIPLE ZERO: Whey Isolated from laperva is a pure protein
 supplement that includes both whey peptides and whey isolate. 28g of 
quality whey protein, 5.5g of BCAA, 4g of glutamine, and precursors are 
all included in every serving  </strong></li>  <li><strong>ABSORBS QUICKLY & DIGESTS EASILY:Whey peptides are a highly pure, 
quickly absorbed, and quickly digested form of whey protein that helps 
to maintain and build muscle mass.  </strong></li>  <li><strong>DELESIOUS and EASY TO MIX: There is no aftertaste or chalky texture. 
We offered around nine fantastic milkshake flavors that blend. In a 
glass or shaker cup, combine with cold water or skim milk. And here we 
are trying to bring more flavors to you.  </strong></li>  <li><strong>LOW FAT AND SUGAR: We created this amazing whey protein isolate powder
 with no sugar, fats, or carbs. This makes this protein powder perfect 
for losing weight. Also, it d",365.0
